ID,System,Title,Foreign Title,Category,Region,Serial,Version,Size,CRC32,MD5,SHA1
440,Sony PlayStation Portable,Ghost in the Shell: Stand Alone Complex,,Games,USA,ULUS-10020,1.01,793280512,52321d57,5e01db6af5e15cf78879bf7a372e6b00,3f1f2f27b3c6928c32b747ccf86e5c45e2add7f7
609,Sony PlayStation Portable,WipEout Pure,,Games,Europe,UCES-00001,1.01,352714752,430725bf,181d349bb577f0cc4aafdc54d9aea96b,710a189ebece7af3a1e796fdcd070302ee562097
628,Sony PlayStation Portable,Open Season,,Games,Europe,ULES-00507,1.01,1105395712,c9e330d4,295e3a333a5fa34f002d5556fa780337,b08356c7c53d2542630ee771a4b69cba3a119c26
651,Sony PlayStation Portable,Untold Legends: Brotherhood of the Blade,,Games,Europe,ULES-00046,1.01,407601152,ba671bd0,73860c73de3354b3bd108824fbb94f55,9b1c25bc9528a2709b6e0a542828d1ce67f50a61
685,Sony PlayStation Portable,Need for Speed: Carbon: Own the City,,Games,Asia,ULAS-42080,1.00,894173184,1b3c86c8,75cc723c9e2a52ab710d7067cb60eff6,22627aea82e75fd53f01dd80cd0e073956c7169e
687,Sony PlayStation Portable,Fired Up,,Games,"Europe, Australia","UCES-00015, UCES-00015/ANZ",1.02,238026752,6d0257c5,37a0f2fb73a3163d6f57686117491bb9,7317fc4e958a906197ea52ac665807a734becb88
688,Sony PlayStation Portable,MediEvil: Resurrection,,Games,Europe,UCES-00006,1.03,1454571520,88060384,2206513ebb5247312ca2bea69ec9bc7d,76535938a8845ad736458306b56816b81ae44846
698,Sony PlayStation Portable,Lumines: Puzzle Fusion,,Games,USA,"ULUS 10002, ULUS 10002GH",1.01,209911808,3348b8a2,4f8f437b9f33c963276534bc35b9fa53,d1b8010db963235c3c9e9ac9d26a656a7b67b2c8
708,Sony PlayStation Portable,Ridge Racer,,Games,"Europe, Australia",UCES-00002,1.00,906362880,079a3889,72fff94c5b048e63047e8eae0e2771ec,384393cb2b2296933257153d6fabef5b5488bc6a
767,Sony PlayStation Portable,Midnight Club 3: DUB Edition,,Games,USA,ULUS-10021,1.00,1652424704,cac66b91,31d345faa24187df9e8c828ff41ebb33,ee604fbd6dcb61f5509397001ed67275ef30117a
783,Sony PlayStation Portable,Full Auto 2: Battlelines,,Games,Europe,ULES-00754,1.00,469336064,940f9756,0bff57a8a247e2fb20367e562cc6dfb6,27c8d6913f66c811334355db7a245ec5268594ef
809,Sony PlayStation Portable,Retail Sampler No. 3 for PSP,,Demos,Europe,UCED-00499,1.02,507510784,81bb2dfa,a4b42d29ed28776dafd87d70c76e89a2,4b073c9493cda3c1e6934d0f270761dc27f3a4e5
850,Sony PlayStation Portable,Grand Theft Auto: Vice City Stories,,Games,USA,"ULUS 10160GH, ULUS-10160",1.03,1696006144,f705a610,f3734cd9ef8fa3f8daf07d0550481092,c339a62ee9b68804f3faa56142bf8486c5bebd8f
852,Sony PlayStation Portable,Grand Theft Auto: Liberty City Stories,,Games,Europe,"ULES-00151, ULES-00151#2, ULES-00151/P",3.00,1255243776,7a884c02,cf40e781475451db431769f9ea0f7998,dd1ba43aaa64dfb13346d6fdbb2a3bfd604e6518
856,Sony PlayStation Portable,Untold Legends: The Warrior's Code,,Games,USA,ULUS-10086,1.02,1053720576,70035cb5,b45ec5747f1074dcb4c99e907cef0619,8e689cc6d73ac4438724cd5c7ebee65c4cae4fd5
